mu,n,partition_like
-5,4.12230722789694e-10,1.00000000412231
-4.75,6.11804266811588e-08,1.00000061180464
-4.5,9.0791618112917e-06,1.00009079986075
-4.25,0.00132967619384563,1.01347592102521
-4,0.0666931196240271,3.00059530965129
-3.75,0.103895481761438,2.09508973241402
-3.5,0.186765420372018,0.809382993582502
-3.25,0.199897335130093,0.702988717276821
-3,0.199999378384735,0.702272348696022
-2.75,0.200010508490727,0.7023408590979
-2.5,0.201537023060857,0.713227490339523
-2.25,0.272222606278121,2.37203492850057
-2,0.379727088924819,3.58014990878199
-1.75,0.399926265887574,2.86402472261187
-1.5,0.412503730135299,3.26468185670973
-1.25,0.495584684413554,4.5358950275247
-1,0.51142749925246,4.88957902956753
-0.75,0.595051289139508,2.46840121640752
-0.5,0.599964932287274,2.34707050271666
-0.25,0.599999763633649,2.34625298455661
0,0.599999998461072,2.34624747741409
0.25,0.600000007959312,2.34624762603579
0.5,0.600001182848828,2.34627519163775
0.75,0.600175321558576,2.35036722995278
1,0.621875383650656,2.97757296354006
1.25,0.782663871068103,4.12332334725999
1.5,0.846486279475226,6.19905526615536
1.75,0.981417050697578,0.848265979203923
2,0.999849243027856,0.692978388341947
2.25,0.999998982798477,0.691940772581145
2.5,0.999999993146086,0.691933781576299
2.75,0.999999999953819,0.691933734471296
3,0.999999999999689,0.691933734153905
3.25,0.999999999999998,0.691933734151767
3.5,1,0.691933734151752
3.75,1,0.691933734151752
4,1,0.691933734151752
4.25,1,0.691933734151752
4.5,1,0.69193373415176
4.75,1.00000000000017,0.691933734152899
5,1.00000000002461,0.691933734322014
5.25,1.00000000365196,0.691933759420891
5.5,1.00000054199597,0.691937484424824
5.75,1.00008037659776,0.692490329154682
6,1.01069288461201,0.774652723274554
6.25,1.11173075661698,3.08603877500803
6.5,1.19680542896946,0.890687949554926
6.75,1.19997803513103,0.862438789044659
7,1.20003669125658,0.862564134354815
7.25,1.20521760595284,0.909553652104655
7.5,1.32161602286398,4.65954439060288
7.75,1.39864612519226,4.15173491035469
8,1.40953748830593,4.52182039897911
8.25,1.4940193323555,4.74938488639688
8.5,1.50285860119879,4.5988452080663
8.75,1.58160057674795,0.51039128721829
9,1.59984830318006,0.417115256778201
9.25,1.59999897633293,0.416486769652005
9.5,1.59999999316608,0.4164825352021
9.75,1.60000000938802,0.416482545697091
10,1.60000140018319,0.416488337812635
10.25,1.60020737955983,0.417347996565661
10.5,1.62360077623434,0.545021992567084
10.75,1.70728976161427,3.92437013463263
11,1.79390946518209,2.92463014711184
11.25,1.80004886509739,2.75023990824919
11.5,1.81261549631745,3.13283186861604
11.75,1.97586648403082,1.29964455418397
12,1.99980778073567,1.00192525751622
12.25,1.99999870321116,1.0000129680277
12.5,1.99999999126223,1.00000008737769
12.75,1.99999999994113,1.00000000058875
13,1.9999999999996,1.00000000000397
13.25,2,1.00000000000003
13.5,2,1
13.75,2,1
14,2,1
14.25,2,1
14.5,2,1
14.75,2,1
15,2,1
