mu,n,partition_like
-5,4.5803413643167e-10,1.00000000412231
-4.75,6.79782518586718e-08,1.00000061180464
-4.5,1.00879573666167e-05,1.00009079985984
-4.25,0.00147741364311636,1.01347590105342
-4,0.0740817478619157,3.00015540225333
-3.75,0.112004783108664,2.02980168634723
-3.5,0.181242692304106,2.24920248667413
-3.25,0.221786503062786,1.42526912375389
-3,0.22221927489051,1.41971763043672
-2.75,0.222222202362734,1.4196802247747
-2.5,0.22222222208841,1.41967997273733
-2.25,0.222222222221323,1.41967997103915
-2,0.222222222222561,1.41967997103208
-1.75,0.222222222273405,1.41967997168157
-1.5,0.222222229818409,1.419680068085
-1.25,0.22222334958899,1.41969437564808
-1,0.222389376767117,1.42181837203498
-0.75,0.243968685017038,1.74952138929096
-0.5,0.441836145015852,19.1499907150932
-0.25,0.577886088898653,19.1891005308495
0,0.66437165657164,5.08269908137068
0.25,0.666650903766068,4.97845506239694
0.5,0.666668786168718,4.97785192709161
0.75,0.666996761962676,4.99256324583959
1,0.709737215375116,7.53669706238315
1.25,0.884400661892338,1.21129431405317
1.5,0.888858329582178,1.16341020123255
1.75,0.888888682968365,1.16309241261889
2,0.888888887595809,1.16309027257783
2.25,0.888888902890381,1.16309040382644
2.5,0.88889096824371,1.16311202377033
2.75,0.889196643507622,1.1663207223688
3,0.921321406376477,1.64253381807322
3.25,0.99821302056546,8.02922277189443
3.5,0.99998776396333,7.90096035614202
3.75,0.999999917545663,7.9000961308145
4,0.999999999511234,7.9000903124282
4.25,1.00000000991201,7.90009097346035
4.5,1.00000147160916,7.90019490217213
4.75,1.00021798058049,7.91561932984428
5,1.0250940236839,4.03656407014102
