mu,n,partition_like
-5,6.87051204647283e-10,1.00000000412231
-4.75,1.01967377783195e-07,1.00000061180464
-4.5,1.51319359439527e-05,1.00009079985953
-4.25,0.00221611817651635,1.01347589404988
-4,0.11111119548034,3.00000113898501
-3.75,0.166121141747387,2.00690698736446
-3.5,0.168727635177415,2.02513321457133
-3.25,0.275092490342374,2.39891573248311
-3,0.332732295101015,1.56627496035098
-2.75,0.333329269011468,1.56066467181714
-2.5,0.333333305947485,1.56062686999039
-2.25,0.333333333148809,1.56062661528368
-2,0.333333333332092,1.5606266135675
-1.75,0.333333333333585,1.56062661355836
-1.5,0.333333333372003,1.56062661391793
-1.25,0.333333339072405,1.56062666729513
-1,0.333334185082751,1.56063458917345
-0.75,0.333459648995998,1.56181030016799
-0.5,0.350196278392705,1.73630141390814
-0.25,0.490605689581275,4.93426504525719
0,0.502641128349145,4.73387632511551
0.25,0.618378780047537,2.89125516151132
0.5,0.666240420665334,2.05959778012206
0.75,0.671082517913974,2.10954322967849
1,0.801188738353439,5.88289970648326
1.25,0.909664710629145,2.15485127422774
1.5,0.998688372687239,0.996680722991428
1.75,0.999991092898177,0.98889001800364
2,0.999999939981242,0.988837525235946
2.25,0.999999999595596,0.988837171542486
2.5,0.999999999997274,0.988837169159319
2.75,0.99999999999998,0.988837169143261
3,0.999999999999999,0.988837169143152
3.25,0.999999999999999,0.988837169143152
3.5,0.999999999999999,0.988837169143152
3.75,0.999999999999999,0.988837169143152
4,0.999999999999999,0.988837169143152
4.25,0.999999999999999,0.988837169143152
4.5,1,0.988837169143139
4.75,1.00000000000035,0.988837169145205
5,1.00000000005204,0.988837169451907
