mu,n,partition_like
-5,3.43525602324408e-10,1.00000000412231
-4.75,5.09836889084205e-08,1.00000061180464
-4.5,7.56596834246266e-06,1.00009079986175
-4.25,0.00110806708780968,1.01347594301957
-4,0.0555955325778472,3.00107976809504
-3.75,0.0892368317894588,2.16698974108969
-3.5,0.160202295989068,0.7632983638722
-3.25,0.166619476103717,0.704487727165282
-3,0.166666348521305,0.704091473215118
-2.75,0.166666664671712,0.70408880452532
-2.5,0.166666688722221,0.704088971749887
-2.25,0.166669942063238,0.704116460088783
-2,0.167150992178479,0.708200429685162
-1.75,0.214036593260297,1.40947833889502
-1.5,0.329867150609226,1.583174774045
-1.25,0.334991185614066,1.54904290003766
-1,0.41482051093016,4.17077839456885
-0.75,0.498115454292795,0.770012677912537
-0.5,0.499998749346443,0.752858475596518
-0.25,0.501698601130636,0.768298053535629
0,0.562975772238174,3.07772572278381
0.25,0.58708785307584,4.49888091234203
0.5,0.656803800324143,4.52405035888867
0.75,0.680430428631726,4.77289557547723
1,0.75660413792847,5.67184608166144
1.25,0.829095237514378,1.26839614338069
1.5,0.833303272958106,1.20433831932331
1.75,0.833333267856704,1.20390876756825
2,0.833353682833178,1.20419794602849
2.25,0.836278236339562,1.24777223809827
2.5,0.941556025413166,3.24470423128781
2.75,0.99927535781184,1.28864071889188
3,0.999995087136211,1.27752439160971
3.25,0.999999966896005,1.27744958406955
3.5,0.999999999776951,1.27744908002456
3.75,0.999999999998502,1.27744907662833
4,0.999999999999995,1.27744907660545
4.25,1.00000000000001,1.2774490766053
4.5,1.00000000000005,1.27744907660592
4.75,1.00000000000607,1.27744907669816
5,1.00000000089912,1.27744909038812
5.25,1.00000013343966,1.27745112215659
5.5,1.00001980025969,1.27775266895888
5.75,1.00285452079245,1.32263005654718
6,1.09476722360427,4.54162515338756
6.25,1.16532231926342,1.18395249027949
6.5,1.16721698506449,1.17277264564487
6.75,1.20939652749182,2.35188579497397
7,1.30849128951015,1.203395394759
7.25,1.33309931876727,0.84942095453889
7.5,1.33333180195901,0.847052308835031
7.75,1.33334069445984,0.847110776986176
8,1.33441770034845,0.858179854054255
8.25,1.40848555712839,3.02421511708244
8.5,1.61639193262276,1.23484607946881
8.75,1.66611282473312,0.581113550087362
9,1.6666629174775,0.577281181120948
9.25,1.66666664152952,0.577255385110737
9.5,1.6666666851214,0.577255339440803
9.75,1.6666694307681,0.577274356976334
10,1.66707504749635,0.580097498705641
10.25,1.70333512345794,1.01044119460377
10.5,1.8164699917138,3.55532919958155
10.75,1.83397943049306,2.8737842270854
11,1.89709176797264,7.84205775291239
11.25,1.99779229937088,1.0270808157721
11.5,1.99998486846174,1.0001816055769
11.75,1.99999989803264,1.00000122360955
12,1.99999999931295,1.00000000824461
12.25,1.99999999999537,1.00000000005555
12.5,1.99999999999997,1.00000000000037
12.75,2,1
13,2,1
13.25,2,1
13.5,2,1
13.75,2,1
14,2,1
14.25,2,1
14.5,2,1
14.75,2,1
15,2,1
