mu,n,partition_like
-5,5.15288403485581e-10,1.00000000412231
-4.75,7.64755333399284e-08,1.00000061180464
-4.5,1.13489520137131e-05,1.00009079985975
-4.25,0.0016620898361105,1.01347589896232
-4,0.083339407702074,3.00010934262246
-3.75,0.125586387624454,2.02296583102221
-3.5,0.193288497646196,3.10405691283503
-3.25,0.249304479087617,1.70529155814628
-3,0.249995287574349,1.69586696525063
-2.75,0.249999968249169,1.6958034628857
-2.5,0.250000000147022,1.69580303987403
-2.25,0.250000053571747,1.69580375889075
-2,0.250007950689591,1.69591089982193
-1.75,0.251173929128822,1.71184575663641
-1.5,0.350419322155156,4.81973794724731
-1.25,0.497355950709992,1.13807087801165
-1,0.499981979135063,1.11427331016788
-0.75,0.500000309602199,1.11411754670925
-0.5,0.500063946401382,1.11468285182925
-0.25,0.508933621453552,1.19928071729222
0,0.677906554351634,1.93215736030732
0.25,0.749121163476827,0.908128437588782
0.5,0.749994043914429,0.901790446891436
0.75,0.749999962010194,0.901747782713936
1,0.750000317875899,0.90174977478518
1.25,0.750047199900325,0.902088103645217
1.5,0.756646106986599,0.952341476556346
1.75,0.874990717405496,2.66217806712967
2,0.993349058947893,0.955178296415094
2.25,0.999952763912651,0.904738599728594
2.5,0.999999681609692,0.904399014716881
2.75,0.999999997854698,0.904396726623555
3,0.999999999985545,0.904396711206504
3.25,0.999999999999903,0.90439671110259
3.5,0.999999999999999,0.90439671110189
3.75,1,0.904396711101885
4,1,0.904396711101885
4.25,1,0.904396711101885
4.5,1,0.904396711101887
4.75,1.00000000000005,0.904396711102269
5,1.00000000000787,0.904396711158835
