mu,n,partition_like
-5,4.21747816734846e-10,1.00000000253049
-4.75,6.25929024774238e-08,1.00000037555756
-4.5,9.2890961309894e-06,1.0000557376833
-4.25,0.00136738963327255,1.00827220571442
-4,0.0918513591676414,2.22770539138377
-3.75,0.165781461813664,1.23462270456545
-3.5,0.170221125105235,1.25455045928473
-3.25,0.294023950158115,2.18177638342951
-3,0.332987436750686,1.67065805796587
-2.75,0.333330997886219,1.66721417063669
-2.5,0.333333317596995,1.66719096590644
-2.25,0.333333333227303,1.66719080955419
-2,0.33333333333262,1.66719080850071
-1.75,0.333333333333524,1.66719080849556
-1.5,0.333333333362311,1.66719080878343
-1.25,0.333333337634056,1.66719085151431
-1,0.33333397161476,1.66719719333957
-0.75,0.333428009249578,1.6681384036731
-0.5,0.346298817421443,1.80782664763783
-0.25,0.487715141779631,4.02526262548322
0,0.506109659975842,3.87259670128588
0.25,0.641914760275419,4.51546703162106
0.5,0.666485929325267,3.84972847024005
0.75,0.668847678935458,3.89590801301445
1,0.777774051987661,6.47322741783686
1.25,0.89404970165405,1.68161895958266
1.5,0.998087287680339,0.623398196594894
1.75,0.999986964245573,0.616292276083312
2,0.999999912158981,0.61624439787142
2.25,0.999999999408131,0.616244075270616
2.5,0.999999999996012,0.616244073096948
2.75,0.999999999999973,0.616244073082302
3,1,0.616244073082204
3.25,1,0.616244073082203
3.5,1,0.616244073082203
3.75,1,0.616244073082203
4,1,0.616244073082203
4.25,1,0.616244073082203
4.5,1,0.616244073082189
4.75,1.00000000000054,0.616244073084185
5,1.00000000008064,0.616244073380342
