mu,n,partition_like
-5,2.94450685871815e-10,1.00000000412231
-4.75,4.3700330115903e-08,1.000000611805
-4.5,6.48512316729856e-06,1.00009079994002
-4.25,0.000949852446118061,1.01347652296067
-4,0.0480514610927824,3.01368401841112
-3.75,0.10723578956154,2.04393653591509
-3.5,0.142392252499764,1.03494614317029
-3.25,0.143736044454602,1.04092825185198
-3,0.195563753596916,3.13843223786556
-2.75,0.281510746972582,4.52859879644861
-2.5,0.289445410469375,4.49817309464013
-2.25,0.359341126991132,4.70162449320364
-2,0.425696970961456,1.15499590362218
-1.75,0.428551287750236,1.10886674599726
-1.5,0.428571304737916,1.10855636800702
-1.25,0.42857319541349,1.10858152644329
-1,0.428832833341714,1.11262591597559
-0.75,0.453773147119054,1.71288478213179
-0.5,0.499411934411357,4.19305866990723
-0.25,0.526594179608109,6.57180388298334
0,0.575804705908304,2.71926562520207
0.25,0.652473762078128,4.16458460960558
0.5,0.712538953964424,0.847391038012716
0.75,0.71427399220668,0.82682365813421
1,0.714334046327952,0.827242005036225
1.25,0.720953174598429,0.910789824467562
1.5,0.828869337334562,5.56341266232744
1.75,0.948315660726313,2.68347659289825
2,0.999376216735632,1.04628841856066
2.25,0.99999577251885,1.03722590609785
2.5,0.999999971514339,1.03716493238073
2.75,0.999999999808066,1.03716452154709
3,0.999999999998707,1.03716451877892
3.25,0.999999999999992,1.03716451876027
3.5,1,1.03716451876014
3.75,1,1.03716451876016
4,1,1.03716451876016
4.25,1,1.03716451876016
4.5,1,1.03716451876017
4.75,1.00000000000006,1.03716451876109
5,1.00000000000947,1.03716451889766
5.25,1.00000000140538,1.03716453916663
5.5,1.00000020857567,1.0371675473501
5.75,1.0000309447142,1.03761402068024
6,1.00437030772646,1.10430205397523
6.25,1.1008764626681,3.42059844005083
6.5,1.14254211617293,1.59964859974795
6.75,1.16397961509653,2.22143967456454
7,1.2738517369615,4.09019880662592
7.25,1.33690546609263,7.18373734290468
7.5,1.42277905655016,1.82685573746017
7.75,1.42852929365083,1.68022783175136
8,1.42857115332287,1.67924359018652
8.25,1.42857273378641,1.67926748040129
8.5,1.42876490187477,1.68379748261625
8.75,1.44909321339058,2.3561419595852
9,1.49923172613052,4.04875838169905
9.25,1.53278909008133,7.32149830817515
9.5,1.57157537501453,3.45312663068447
9.75,1.62047251677858,4.65447434135486
10,1.71023530989475,1.4630247927066
10.25,1.71425706178976,1.380989706118
10.5,1.71428583307976,1.38044543965569
10.75,1.71433197925089,1.38133041833393
11,1.72057623798467,1.51347227733172
11.25,1.79684049633196,4.94678352723885
11.5,1.8556728061239,3.36117933068904
11.75,1.88185397126762,4.81429983416752
12,1.99479338336728,1.0773439998275
12.25,1.99996335785235,1.00051319946915
12.5,1.9999997530328,1.00000345755033
12.75,1.99999999833594,1.00000002329677
13,1.99999999998879,1.00000000015697
13.25,1.99999999999992,1.00000000000106
13.5,2,1.00000000000001
13.75,2,1
14,2,1
14.25,2,1
14.5,2,1
14.75,2,1
15,2,1
