mu,n,partition_like
-5,3.43525602324384e-10,1.00000000412231
-4.75,5.09836889078898e-08,1.00000061180464
-4.5,7.5659683307759e-06,1.00009079986168
-4.25,0.00110806683546899,1.01347594147485
-4,0.0555942732975569,3.00104574343341
-3.75,0.0890559766253739,2.1619400335689
-3.5,0.160008772673703,0.741111764003676
-3.25,0.166617941593376,0.682301127296781
-3,0.166666338170564,0.681904873350703
-2.75,0.16666666468142,0.681902205267369
-2.5,0.166666700513955,0.681902462499079
-2.25,0.166671692016899,0.681943309111248
-2,0.167407117777119,0.688010455288988
-1.75,0.221918048180926,1.69756161901827
-1.5,0.328914988664147,1.83713294280864
-1.25,0.334944690722954,1.77530009644233
-1,0.4167125187768,4.81828061496807
-0.75,0.498361948144022,0.990941855530317
-0.5,0.499997580719438,0.971739000915396
-0.25,0.501284080568384,0.986711821471971
0,0.558283636591577,3.22900751340627
0.25,0.587642330205866,4.40480721704107
0.5,0.658041078524045,5.02878124745819
0.75,0.677417267612657,5.17295440034865
1,0.757973357630839,4.99400561049689
1.25,0.829977319668346,1.35647113304506
1.5,0.833309793775307,1.30222763198571
1.75,0.833333283224675,1.3018639379109
2,0.833349440222823,1.30211146437422
2.25,0.835679607689886,1.33939125427537
2.5,0.937125502703966,2.76567786904784
2.75,0.999217476080785,1.02200680817699
3,0.999994694510046,1.01248946914492
3.25,0.999999964250391,1.01242544312545
3.5,0.999999999759125,1.01242501172613
3.75,0.999999999998381,1.01242500881938
4,0.999999999999994,1.0124250087998
4.25,1.00000000000001,1.01242500879966
4.5,1.00000000000005,1.01242500880019
4.75,1.00000000000646,1.01242500887807
5,1.00000000095778,1.01242502043592
5.25,1.00000014214685,1.0124267357588
5.5,1.00002109157296,1.01268131476542
5.75,1.00302632199917,1.05051967443408
6,1.0856369648254,3.34462137444348
6.25,1.16417056463417,0.537921072543942
6.5,1.16792736463058,0.529951447646528
6.75,1.22731113722635,1.76763009200905
7,1.31932494067103,2.18545841467065
7.25,1.33322074473714,1.82160748627941
7.5,1.33333260116888,1.81916360105473
7.75,1.3333374009557,1.81923544163654
8,1.33393580493984,1.83236773983478
8.25,1.39424836981095,4.38415343307998
8.5,1.62729118146399,2.10992267505987
8.75,1.66629757276829,1.21820446224544
9,1.66666417273634,1.21284951027249
9.25,1.66666664991523,1.21281345864745
9.5,1.66666667439773,1.21281332912433
9.75,1.66666783084906,1.21283015677304
10,1.66683917510929,1.2153284531822
10.25,1.68751741971445,1.59952255716793
10.5,1.81973122802731,3.99730870533306
10.75,1.83389460437124,3.3893855794959
11,1.89315452021746,8.35820317967164
11.25,1.99778854727982,1.02710424890475
11.5,1.99998486828448,1.00018160664076
11.75,1.99999989803263,1.0000012236096
12,1.99999999931295,1.00000000824461
12.25,1.99999999999537,1.00000000005555
12.5,1.99999999999997,1.00000000000037
12.75,2,1
13,2,1
13.25,2,1
13.5,2,1
13.75,2,1
14,2,1
14.25,2,1
14.5,2,1
14.75,2,1
15,2,1
